"age","job","marital","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","y","edu"
55,"management","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
42,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
50,"blue-collar","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
51,"blue-collar","married","unknown","unknown","unknown","telephone","may","mon",1,999,0,"nonexistent","0","4"
38,"admin.","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
49,"entrepreneur","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","1","university.degree"
38,"technician","single","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
31,"admin.","divorced","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
41,"management","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","6"
39,"admin.","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
49,"technician","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","1","9"
34,"admin.","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
35,"admin.","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
57,"unknown","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
60,"admin.","married","unknown","no","yes","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
33,"unemployed","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
42,"blue-collar","married","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","6"
45,"services","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
42,"management","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
53,"admin.","divorced","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
37,"technician","single","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
44,"blue-collar","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
54,"services","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
49,"blue-collar","married","no","no","no","telephone","may","mon",3,999,0,"nonexistent","0","4"
54,"services","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
52,"admin.","divorced","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
52,"admin.","divorced","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
43,"services","single","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
34,"housemaid","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","6"
35,"admin.","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
42,"entrepreneur","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
43,"technician","married","unknown","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
60,"retired","divorced","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
58,"unemployed","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","4"
35,"services","divorced","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
55,"blue-collar","married","unknown","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
37,"management","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
36,"blue-collar","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
52,"admin.","divorced","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
57,"blue-collar","divorced","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
56,"admin.","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
48,"blue-collar","divorced","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
40,"blue-collar","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
49,"blue-collar","divorced","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
41,"services","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
45,"technician","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
32,"admin.","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
42,"admin.","married","no","no","yes","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
50,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
31,"technician","divorced","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
56,"retired","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","4"
41,"technician","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","1","professional.course"
37,"blue-collar","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","6"
41,"technician","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
35,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
37,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
52,"management","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
39,"management","divorced","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
39,"housemaid","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","4"
56,"blue-collar","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","4"
34,"services","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
45,"blue-collar","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","1","9"
43,"unemployed","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
56,"management","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
39,"management","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
53,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
38,"unknown","divorced","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
42,"blue-collar","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
42,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
35,"admin.","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
40,"admin.","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
51,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
60,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
56,"entrepreneur","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
39,"services","divorced","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
56,"entrepreneur","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
40,"blue-collar","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
36,"blue-collar","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","9"
51,"blue-collar","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
51,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
43,"technician","single","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","professional.course"
59,"services","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
24,"management","single","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
37,"blue-collar","single","unknown","yes","yes","telephone","may","mon",2,999,0,"nonexistent","0","9"
40,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
42,"blue-collar","married","unknown","no","no","telephone","may","mon",3,999,0,"nonexistent","0","9"
39,"services","divorced","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
37,"entrepreneur","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
38,"services","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
56,"admin.","divorced","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
40,"blue-collar","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
54,"management","divorced","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
43,"blue-collar","married","unknown","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
36,"services","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
45,"technician","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
42,"admin.","single","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
43,"services","married","no","no","no","telephone","may","mon",3,999,0,"nonexistent","0","high.school"
46,"management","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
44,"services","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
51,"admin.","single","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","6"
28,"services","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
37,"blue-collar","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
34,"technician","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
46,"blue-collar","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
42,"blue-collar","married","no","yes","yes","telephone","may","mon",2,999,0,"nonexistent","1","9"
36,"admin.","married","no","yes","no","telephone","may","mon",3,999,0,"nonexistent","0","university.degree"
54,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
57,"management","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
51,"technician","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
54,"retired","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
49,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
34,"admin.","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
41,"technician","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
38,"blue-collar","single","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
45,"management","divorced","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
42,"technician","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
34,"blue-collar","single","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
48,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
37,"admin.","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
34,"blue-collar","single","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
40,"admin.","married","unknown","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
43,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
33,"services","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
32,"services","single","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
39,"blue-collar","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
43,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
44,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
35,"student","single","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
35,"student","single","unknown","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
35,"unemployed","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
36,"services","single","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
35,"student","single","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
36,"student","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
55,"housemaid","divorced","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
59,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
57,"retired","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
39,"blue-collar","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
39,"housemaid","married","unknown","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","4"
30,"blue-collar","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
30,"blue-collar","single","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
50,"housemaid","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
40,"services","married","no","no","no","telephone","may","mon",3,999,0,"nonexistent","0","high.school"
35,"admin.","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
43,"technician","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
36,"services","single","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
46,"technician","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
40,"technician","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
58,"retired","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
42,"technician","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
35,"admin.","single","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
43,"retired","married","unknown","no","no","telephone","may","mon",3,999,0,"nonexistent","0","4"
45,"blue-collar","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","4"
39,"admin.","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","professional.course"
50,"services","divorced","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
32,"management","divorced","unknown","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","4"
39,"admin.","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
52,"self-employed","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
44,"admin.","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
56,"blue-collar","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
48,"admin.","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
33,"services","married","unknown","no","yes","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
43,"management","married","unknown","no","yes","telephone","may","mon",3,999,0,"nonexistent","0","university.degree"
57,"retired","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
36,"technician","single","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
34,"management","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
34,"services","single","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
30,"technician","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
33,"services","divorced","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
32,"technician","single","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
36,"technician","single","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
36,"blue-collar","single","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
33,"services","single","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
40,"technician","divorced","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
41,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
51,"services","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
36,"technician","married","no","yes","no","telephone","may","mon",3,999,0,"nonexistent","0","professional.course"
28,"services","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
53,"services","married","no","yes","yes","telephone","may","mon",3,999,0,"nonexistent","0","high.school"
58,"blue-collar","married","unknown","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
45,"management","married","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","9"
43,"technician","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
33,"admin.","married","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
33,"admin.","married","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
27,"blue-collar","single","no","unknown","unknown","telephone","may","mon",1,999,0,"nonexistent","0","6"
42,"technician","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
43,"admin.","divorced","no","no","no","telephone","may","mon",3,999,0,"nonexistent","0","9"
42,"admin.","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
27,"blue-collar","single","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
34,"self-employed","single","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
31,"student","single","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
54,"management","divorced","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
40,"self-employed","married","unknown","no","no","telephone","may","mon",3,999,0,"nonexistent","0","4"
52,"unemployed","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
47,"management","divorced","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
49,"housemaid","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
32,"admin.","single","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
49,"housemaid","single","unknown","yes","yes","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
50,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
34,"services","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
55,"blue-collar","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","4"
47,"technician","single","no","no","no","telephone","may","mon",4,999,0,"nonexistent","0","9"
51,"retired","married","no","no","no","telephone","may","mon",3,999,0,"nonexistent","0","professional.course"
47,"blue-collar","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","6"
56,"technician","married","no","yes","no","telephone","may","mon",3,999,0,"nonexistent","0","4"
53,"admin.","married","no","no","no","telephone","may","mon",3,999,0,"nonexistent","0","9"
36,"blue-collar","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
42,"blue-collar","divorced","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
44,"blue-collar","divorced","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","6"
39,"housemaid","married","no","yes","no","telephone","may","mon",3,999,0,"nonexistent","1","9"
37,"admin.","single","no","yes","yes","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
60,"blue-collar","married","unknown","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
36,"services","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
42,"management","divorced","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
31,"admin.","married","no","yes","yes","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
53,"technician","divorced","unknown","no","yes","telephone","may","mon",2,999,0,"nonexistent","0","professional.course"
45,"blue-collar","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","4"
37,"technician","single","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","professional.course"
47,"self-employed","married","no","no","no","telephone","may","mon",2,999,0,"nonexistent","0","professional.course"
49,"blue-collar","divorced","no","no","yes","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
36,"admin.","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
35,"services","divorced","no","no","no","telephone","may","mon",3,999,0,"nonexistent","0","high.school"
38,"unknown","married","unknown","no","no","telephone","may","mon",4,999,0,"nonexistent","0","unknown"
38,"services","single","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
50,"blue-collar","divorced","unknown","no","yes","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
59,"retired","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","professional.course"
43,"unknown","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
42,"admin.","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
40,"admin.","married","unknown","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","6"
46,"blue-collar","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","unknown"
