"id","age","job","marital","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","edu"
43,28,"blue-collar","married","unknown","no","no","cellular","may","mon",2,999,0,"nonexistent","6"
44,43,"entrepreneur","married","no","yes","no","cellular","may","mon",3,999,1,"failure","6"
45,51,"blue-collar","married","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","4"
46,30,"services","single","no","yes","yes","cellular","may","mon",2,999,1,"failure","high.school"
47,59,"retired","married","no","no","no","cellular","may","mon",2,999,0,"nonexistent","6"
48,27,"student","single","no","no","no","cellular","may","mon",2,999,1,"failure","high.school"
49,27,"management","single","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","university.degree"
50,32,"student","single","no","no","yes","cellular","may","mon",2,999,0,"nonexistent","unknown"
51,66,"management","married","no","no","no","cellular","may","mon",4,3,1,"success","university.degree"
52,31,"admin.","single","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","university.degree"
53,49,"admin.","married","no","yes","no","telephone","may","mon",5,999,0,"nonexistent","university.degree"
54,52,"admin.","single","no","no","no","cellular","may","mon",2,999,0,"nonexistent","high.school"
55,57,"admin.","single","no","no","yes","cellular","may","mon",3,999,0,"nonexistent","university.degree"
56,31,"student","single","no","no","yes","cellular","may","mon",2,999,0,"nonexistent","unknown"
57,25,"technician","married","no","no","no","cellular","may","mon",1,999,2,"failure","university.degree"
58,36,"technician","married","no","no","yes","cellular","may","mon",2,999,1,"failure","university.degree"
59,42,"admin.","married","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","professional.course"
60,62,"retired","married","no","yes","no","cellular","may","mon",4,999,0,"nonexistent","professional.course"
61,42,"admin.","married","no","no","yes","cellular","may","mon",1,999,0,"nonexistent","professional.course"
62,53,"admin.","divorced","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","university.degree"
63,27,"management","single","no","no","no","cellular","may","mon",4,999,0,"nonexistent","university.degree"
64,35,"services","married","no","no","no","cellular","may","mon",4,999,0,"nonexistent","high.school"
65,26,"admin.","single","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","university.degree"
66,30,"unemployed","married","no","yes","no","cellular","may","mon",3,3,1,"success","high.school"
67,59,"retired","married","no","yes","no","cellular","may","mon",6,999,0,"nonexistent","6"
68,39,"blue-collar","married","no","no","no","cellular","may","mon",3,999,0,"nonexistent","9"
69,45,"blue-collar","married","no","yes","yes","cellular","may","mon",4,999,0,"nonexistent","9"
70,43,"admin.","single","no","yes","no","telephone","may","mon",6,999,0,"nonexistent","university.degree"
71,33,"services","married","no","no","yes","cellular","may","mon",2,999,1,"failure","high.school"
72,35,"blue-collar","married","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","4"
73,34,"services","married","no","no","no","cellular","may","mon",3,999,0,"nonexistent","professional.course"
74,33,"blue-collar","married","unknown","yes","yes","cellular","may","mon",2,999,1,"failure","high.school"
75,33,"blue-collar","married","unknown","yes","no","cellular","may","mon",2,999,0,"nonexistent","high.school"
76,60,"blue-collar","married","unknown","yes","no","cellular","may","mon",5,999,0,"nonexistent","unknown"
77,34,"services","married","no","no","no","cellular","may","mon",4,999,0,"nonexistent","professional.course"
78,30,"admin.","single","no","no","no","telephone","may","mon",6,999,0,"nonexistent","university.degree"
79,42,"services","married","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","high.school"
80,53,"management","married","no","yes","no","cellular","may","mon",2,999,1,"failure","high.school"
81,31,"admin.","single","no","yes","no","cellular","may","mon",4,999,0,"nonexistent","university.degree"
82,42,"admin.","married","no","yes","yes","cellular","may","mon",2,999,0,"nonexistent","professional.course"
83,45,"blue-collar","married","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","9"
84,49,"unemployed","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","high.school"
85,57,"technician","married","no","yes","no","cellular","may","mon",2,999,1,"failure","university.degree"
86,55,"technician","married","unknown","no","no","cellular","may","mon",1,999,0,"nonexistent","9"
87,25,"technician","unknown","no","yes","yes","cellular","may","mon",1,999,0,"nonexistent","university.degree"
88,35,"admin.","married","no","yes","no","cellular","may","mon",2,3,1,"success","professional.course"
89,27,"blue-collar","unknown","no","no","no","cellular","may","mon",2,999,0,"nonexistent","high.school"
90,31,"student","single","no","no","yes","cellular","may","mon",3,999,0,"nonexistent","unknown"
91,58,"retired","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","university.degree"
92,43,"admin.","married","no","yes","yes","cellular","may","mon",3,999,0,"nonexistent","professional.course"
93,31,"admin.","divorced","no","yes","yes","cellular","may","mon",3,999,0,"nonexistent","university.degree"
94,31,"services","married","unknown","no","no","cellular","may","mon",6,999,0,"nonexistent","high.school"
95,38,"admin.","single","no","no","no","cellular","may","mon",3,999,0,"nonexistent","university.degree"
96,36,"entrepreneur","married","no","no","no","cellular","may","mon",2,999,0,"nonexistent","9"
97,42,"admin.","married","no","yes","no","cellular","may","mon",5,999,0,"nonexistent","university.degree"
98,41,"admin.","single","no","yes","no","cellular","may","mon",3,999,1,"failure","high.school"
99,35,"services","married","no","no","no","cellular","may","mon",3,999,1,"failure","high.school"
100,39,"technician","married","no","yes","no","cellular","may","mon",3,11,1,"success","professional.course"
101,27,"technician","single","no","yes","no","cellular","may","mon",6,999,0,"nonexistent","university.degree"
102,27,"technician","single","no","yes","no","cellular","may","mon",4,999,1,"failure","university.degree"
103,53,"admin.","married","unknown","yes","no","cellular","may","mon",2,999,0,"nonexistent","high.school"
104,19,"student","single","no","yes","no","cellular","may","mon",5,999,0,"nonexistent","unknown"
105,27,"technician","single","no","yes","no","telephone","may","mon",9,999,0,"nonexistent","university.degree"
106,44,"admin.","divorced","no","yes","no","cellular","may","mon",4,999,0,"nonexistent","high.school"
107,20,"technician","single","no","no","no","cellular","may","mon",5,999,0,"nonexistent","university.degree"
108,45,"entrepreneur","married","unknown","no","no","cellular","may","mon",5,999,0,"nonexistent","4"
109,42,"admin.","married","no","yes","no","cellular","may","mon",3,9,2,"failure","professional.course"
110,36,"management","married","no","no","yes","cellular","may","mon",4,999,0,"nonexistent","university.degree"
111,31,"blue-collar","married","no","yes","no","cellular","may","mon",7,999,0,"nonexistent","6"
112,34,"self-employed","married","unknown","no","no","cellular","may","mon",2,999,0,"nonexistent","4"
113,39,"blue-collar","married","no","no","yes","cellular","may","mon",3,999,2,"failure","9"
114,35,"admin.","married","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","professional.course"
115,44,"self-employed","single","no","yes","no","cellular","may","mon",4,999,0,"nonexistent","professional.course"
116,30,"self-employed","married","no","no","no","cellular","may","mon",4,999,0,"nonexistent","university.degree"
117,51,"blue-collar","married","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","4"
118,31,"technician","single","no","no","no","cellular","may","mon",4,999,0,"nonexistent","university.degree"
119,34,"admin.","single","no","no","no","cellular","may","mon",5,999,0,"nonexistent","university.degree"
120,51,"blue-collar","married","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","4"
121,39,"admin.","single","no","no","no","cellular","may","mon",2,999,0,"nonexistent","university.degree"
122,54,"blue-collar","married","no","no","no","cellular","may","mon",3,999,0,"nonexistent","4"
123,52,"admin.","married","no","no","yes","cellular","may","mon",2,999,0,"nonexistent","university.degree"
124,28,"admin.","single","no","no","no","cellular","may","mon",3,999,0,"nonexistent","university.degree"
125,48,"admin.","married","no","no","yes","cellular","may","mon",3,999,0,"nonexistent","university.degree"
126,42,"housemaid","single","no","yes","no","telephone","may","mon",4,999,0,"nonexistent","high.school"
127,53,"technician","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","professional.course"
128,39,"blue-collar","single","no","yes","yes","cellular","may","mon",3,3,1,"success","9"
129,39,"blue-collar","single","no","no","no","cellular","may","mon",3,999,0,"nonexistent","9"
130,58,"admin.","married","no","yes","yes","cellular","may","mon",2,999,0,"nonexistent","university.degree"
131,56,"housemaid","married","no","yes","yes","telephone","may","mon",3,999,1,"failure","high.school"
132,30,"technician","single","no","no","no","cellular","may","mon",4,999,1,"failure","professional.course"
133,57,"self-employed","married","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","university.degree"
134,39,"admin.","married","no","unknown","unknown","cellular","may","mon",2,999,2,"failure","high.school"
135,56,"admin.","married","no","yes","yes","cellular","may","mon",2,999,0,"nonexistent","9"
136,30,"unemployed","married","no","yes","yes","telephone","may","mon",4,999,0,"nonexistent","high.school"
137,30,"admin.","married","no","yes","yes","cellular","may","mon",4,999,0,"nonexistent","university.degree"
138,22,"student","single","no","yes","yes","cellular","may","mon",3,999,0,"nonexistent","high.school"
139,42,"admin.","married","no","yes","no","cellular","may","mon",5,999,0,"nonexistent","university.degree"
140,52,"blue-collar","married","unknown","no","no","cellular","may","mon",3,999,0,"nonexistent","4"
141,34,"services","married","no","yes","yes","cellular","may","mon",3,999,0,"nonexistent","professional.course"
142,28,"technician","single","no","yes","no","cellular","may","mon",3,999,1,"failure","high.school"
143,35,"housemaid","single","no","no","yes","cellular","may","mon",4,999,0,"nonexistent","university.degree"
144,35,"admin.","married","no","yes","yes","telephone","may","mon",10,999,0,"nonexistent","high.school"
145,32,"self-employed","married","no","yes","no","cellular","may","mon",3,3,1,"success","6"
146,61,"technician","divorced","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","professional.course"
147,42,"admin.","married","no","yes","no","cellular","may","mon",6,999,0,"nonexistent","university.degree"
148,50,"self-employed","married","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","high.school"
149,41,"services","single","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","high.school"
150,26,"student","single","no","no","no","cellular","may","mon",3,999,1,"failure","high.school"
151,40,"admin.","married","no","no","no","cellular","may","mon",4,999,0,"nonexistent","university.degree"
152,38,"blue-collar","married","no","yes","no","cellular","may","mon",5,999,0,"nonexistent","9"
153,36,"entrepreneur","married","no","no","no","cellular","may","mon",3,999,0,"nonexistent","9"
154,81,"retired","married","no","no","no","cellular","may","mon",2,999,0,"nonexistent","4"
155,46,"services","married","no","yes","no","telephone","may","mon",5,999,0,"nonexistent","6"
156,56,"technician","married","no","yes","yes","cellular","may","mon",2,999,0,"nonexistent","professional.course"
157,59,"retired","married","no","no","no","cellular","may","mon",6,999,1,"failure","4"
158,21,"student","single","no","no","no","cellular","may","mon",5,999,0,"nonexistent","unknown"
159,44,"technician","married","no","no","no","cellular","may","mon",5,999,1,"failure","high.school"
160,50,"blue-collar","married","no","yes","no","telephone","may","mon",4,3,2,"success","6"
161,51,"technician","married","no","yes","no","cellular","may","mon",4,999,0,"nonexistent","professional.course"
162,39,"admin.","married","no","no","no","telephone","may","mon",4,999,0,"nonexistent","high.school"
163,46,"blue-collar","married","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","6"
164,53,"technician","married","no","no","no","cellular","may","mon",3,999,0,"nonexistent","professional.course"
165,29,"management","married","no","no","no","telephone","may","mon",5,999,0,"nonexistent","university.degree"
166,39,"admin.","married","no","no","no","cellular","may","mon",5,999,0,"nonexistent","high.school"
167,39,"admin.","married","no","yes","no","telephone","may","mon",6,999,0,"nonexistent","university.degree"
168,37,"entrepreneur","married","no","yes","no","cellular","may","mon",5,999,0,"nonexistent","university.degree"
169,53,"management","married","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","high.school"
170,37,"technician","single","no","no","no","telephone","may","mon",5,999,0,"nonexistent","professional.course"
171,43,"blue-collar","married","no","yes","yes","cellular","may","mon",4,999,0,"nonexistent","9"
172,34,"services","married","no","yes","no","cellular","may","mon",5,999,0,"nonexistent","professional.course"
173,27,"student","single","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","university.degree"
174,42,"services","married","no","yes","no","cellular","may","mon",2,3,1,"success","high.school"
175,59,"management","married","no","no","no","telephone","may","mon",8,999,0,"nonexistent","university.degree"
176,45,"admin.","married","no","yes","no","cellular","may","mon",4,999,0,"nonexistent","university.degree"
177,43,"admin.","married","no","yes","no","cellular","may","mon",4,3,1,"success","high.school"
178,44,"self-employed","married","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","high.school"
179,57,"entrepreneur","married","no","yes","no","cellular","may","mon",4,999,1,"failure","9"
180,59,"unknown","married","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","unknown"
181,48,"unemployed","married","no","yes","yes","cellular","may","mon",4,999,1,"failure","professional.course"
182,32,"services","single","no","no","no","cellular","may","mon",1,999,0,"nonexistent","high.school"
183,30,"unknown","married","no","no","no","cellular","may","mon",1,999,0,"nonexistent","professional.course"
184,50,"entrepreneur","married","no","yes","no","telephone","may","mon",5,999,0,"nonexistent","9"
185,29,"admin.","married","unknown","yes","no","cellular","may","mon",4,3,1,"success","university.degree"
186,44,"self-employed","single","no","yes","no","cellular","may","mon",5,999,1,"failure","professional.course"
187,37,"technician","single","no","yes","no","cellular","may","mon",4,999,1,"failure","professional.course"
188,46,"admin.","single","no","no","yes","cellular","may","mon",5,999,0,"nonexistent","high.school"
189,49,"technician","married","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","high.school"
190,53,"admin.","married","no","no","no","telephone","may","mon",5,999,0,"nonexistent","9"
191,51,"unemployed","married","no","no","no","cellular","may","mon",5,3,1,"success","high.school"
192,24,"technician","single","no","yes","no","cellular","may","mon",4,999,0,"nonexistent","high.school"
193,44,"self-employed","single","no","no","no","cellular","may","mon",6,12,1,"success","professional.course"
194,37,"unknown","single","no","yes","no","cellular","may","mon",5,999,0,"nonexistent","university.degree"
195,44,"self-employed","married","no","no","yes","cellular","may","mon",4,999,2,"failure","high.school"
196,36,"management","married","no","yes","no","cellular","may","mon",6,999,0,"nonexistent","university.degree"
197,39,"unemployed","single","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","9"
198,31,"services","married","unknown","no","no","telephone","may","mon",3,999,0,"nonexistent","high.school"
199,56,"housemaid","married","no","no","no","cellular","may","mon",8,999,0,"nonexistent","high.school"
200,56,"services","divorced","no","no","no","telephone","may","mon",7,999,0,"nonexistent","high.school"
201,49,"admin.","divorced","no","no","no","cellular","may","mon",5,999,0,"nonexistent","university.degree"
202,36,"technician","married","no","yes","no","cellular","may","mon",5,999,0,"nonexistent","professional.course"
203,50,"self-employed","married","no","yes","yes","cellular","may","mon",6,3,1,"success","9"
204,25,"management","single","no","yes","no","cellular","may","mon",5,999,0,"nonexistent","university.degree"
205,56,"services","married","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","high.school"
206,34,"admin.","married","no","yes","yes","telephone","may","mon",3,999,0,"nonexistent","university.degree"
207,59,"unknown","married","no","yes","no","cellular","may","mon",7,6,1,"success","unknown"
208,45,"admin.","married","no","yes","yes","telephone","may","mon",3,999,0,"nonexistent","university.degree"
209,60,"admin.","married","no","yes","no","cellular","may","mon",2,11,1,"success","university.degree"
210,39,"blue-collar","single","no","no","yes","cellular","may","tue",2,999,0,"nonexistent","4"
211,36,"services","married","no","yes","no","cellular","may","tue",2,999,0,"nonexistent","high.school"
212,29,"admin.","single","no","yes","no","cellular","may","tue",8,999,0,"nonexistent","university.degree"
213,37,"blue-collar","married","no","yes","no","cellular","may","tue",4,999,0,"nonexistent","6"
214,25,"services","married","no","no","no","cellular","may","tue",2,999,0,"nonexistent","high.school"
215,36,"admin.","divorced","no","yes","no","cellular","may","tue",5,999,0,"nonexistent","high.school"
216,33,"retired","married","no","yes","no","cellular","may","tue",3,999,0,"nonexistent","high.school"
217,32,"blue-collar","single","no","yes","no","cellular","may","tue",2,999,1,"failure","4"
218,28,"services","single","no","no","no","cellular","may","tue",2,999,1,"failure","unknown"
219,34,"admin.","married","no","yes","no","cellular","may","tue",3,999,1,"failure","university.degree"
220,58,"services","divorced","unknown","yes","no","cellular","may","tue",6,999,0,"nonexistent","high.school"
221,40,"admin.","single","no","yes","no","cellular","may","tue",3,999,0,"nonexistent","high.school"
222,36,"blue-collar","married","no","yes","no","cellular","may","tue",5,999,0,"nonexistent","6"
223,33,"management","married","no","yes","no","cellular","may","tue",6,999,0,"nonexistent","university.degree"
224,38,"admin.","married","no","no","no","telephone","may","tue",6,999,0,"nonexistent","university.degree"
225,48,"services","married","no","no","no","cellular","may","tue",5,999,1,"failure","4"
226,57,"retired","married","no","no","no","cellular","may","tue",4,999,1,"failure","6"
227,41,"blue-collar","married","no","yes","no","cellular","may","tue",4,999,1,"failure","9"
228,55,"retired","married","no","no","no","cellular","may","tue",5,999,0,"nonexistent","4"
229,40,"blue-collar","married","unknown","no","no","cellular","may","tue",4,999,2,"failure","9"
230,36,"admin.","divorced","no","yes","no","telephone","may","tue",2,999,0,"nonexistent","high.school"
231,32,"technician","single","no","no","no","cellular","may","tue",2,999,0,"nonexistent","professional.course"
232,36,"blue-collar","married","unknown","yes","no","cellular","may","tue",5,999,0,"nonexistent","9"
233,19,"student","single","unknown","no","yes","cellular","may","tue",4,999,0,"nonexistent","high.school"
234,44,"blue-collar","married","no","yes","no","telephone","may","tue",7,999,0,"nonexistent","4"
235,37,"admin.","married","no","yes","no","cellular","may","tue",2,999,1,"failure","9"
236,44,"services","married","no","yes","no","cellular","may","tue",5,999,0,"nonexistent","high.school"
237,29,"admin.","single","no","no","no","cellular","may","tue",6,999,1,"failure","university.degree"
238,44,"admin.","single","unknown","no","no","cellular","may","tue",6,999,0,"nonexistent","professional.course"
239,37,"blue-collar","married","no","no","no","cellular","may","tue",5,999,0,"nonexistent","6"
240,37,"admin.","married","no","yes","no","cellular","may","tue",7,999,0,"nonexistent","9"
241,33,"housemaid","married","unknown","yes","no","cellular","may","tue",1,999,1,"failure","9"
242,40,"blue-collar","married","no","yes","no","cellular","may","tue",3,999,0,"nonexistent","9"
243,43,"blue-collar","married","no","no","no","cellular","may","tue",1,999,2,"failure","4"
244,42,"blue-collar","married","no","no","no","cellular","may","tue",5,10,1,"success","9"
245,38,"admin.","divorced","no","no","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
246,34,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","9"
247,34,"blue-collar","married","no","no","no","cellular","may","tue",1,999,0,"nonexistent","9"
248,32,"blue-collar","married","unknown","yes","no","cellular","may","tue",1,999,0,"nonexistent","6"
249,34,"blue-collar","married","no","yes","no","telephone","may","tue",1,999,0,"nonexistent","9"
250,34,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","9"
251,42,"blue-collar","married","no","no","no","cellular","may","tue",1,999,1,"failure","9"
252,32,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,2,"failure","9"
253,35,"blue-collar","married","unknown","yes","no","cellular","may","tue",1,0,1,"success","6"
254,38,"blue-collar","married","unknown","yes","no","cellular","may","tue",1,999,1,"failure","9"
255,34,"management","married","no","yes","yes","cellular","may","tue",1,999,0,"nonexistent","university.degree"
256,37,"admin.","divorced","no","no","yes","cellular","may","tue",1,999,0,"nonexistent","high.school"
257,35,"services","married","unknown","yes","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
258,32,"technician","single","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","university.degree"
259,35,"services","married","unknown","yes","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
260,36,"blue-collar","married","no","no","no","cellular","may","tue",1,999,0,"nonexistent","9"
261,36,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","9"
262,36,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","9"
263,33,"admin.","married","unknown","yes","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
264,36,"blue-collar","married","no","no","no","cellular","may","tue",1,999,0,"nonexistent","9"
265,29,"services","divorced","no","no","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
266,41,"admin.","married","no","yes","no","cellular","may","tue",1,999,1,"failure","high.school"
267,33,"admin.","married","unknown","yes","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
268,33,"admin.","married","unknown","no","no","cellular","may","tue",1,999,1,"failure","high.school"
269,47,"technician","married","unknown","yes","no","cellular","may","tue",1,999,0,"nonexistent","professional.course"
270,41,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","9"
271,41,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","9"
272,41,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,2,"failure","9"
273,47,"services","married","unknown","yes","no","cellular","may","tue",1,999,1,"failure","high.school"
274,49,"admin.","married","no","no","no","cellular","may","tue",1,999,1,"failure","high.school"
275,41,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,2,"failure","4"
276,36,"blue-collar","married","unknown","no","no","cellular","may","tue",1,999,0,"nonexistent","4"
277,40,"admin.","single","no","no","no","cellular","may","tue",6,999,0,"nonexistent","high.school"
278,34,"blue-collar","married","no","no","no","cellular","may","tue",2,999,0,"nonexistent","9"
279,30,"admin.","single","no","no","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
280,39,"blue-collar","married","no","yes","no","telephone","may","tue",1,999,0,"nonexistent","9"
281,38,"entrepreneur","married","no","no","yes","cellular","may","tue",1,999,1,"failure","professional.course"
282,39,"blue-collar","married","no","no","no","cellular","may","tue",1,999,0,"nonexistent","9"
283,38,"entrepreneur","married","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","professional.course"
284,39,"blue-collar","married","no","no","no","cellular","may","tue",1,999,0,"nonexistent","9"
285,58,"admin.","single","no","no","no","cellular","may","tue",1,999,0,"nonexistent","university.degree"
286,49,"admin.","married","no","yes","no","cellular","may","tue",1,999,1,"failure","high.school"
287,44,"blue-collar","married","no","yes","yes","cellular","may","tue",1,999,0,"nonexistent","9"
288,39,"blue-collar","married","no","yes","yes","cellular","may","tue",1,999,0,"nonexistent","9"
289,49,"blue-collar","married","no","yes","yes","cellular","may","tue",1,999,1,"failure","professional.course"
290,38,"blue-collar","divorced","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","9"
291,51,"admin.","married","unknown","no","no","cellular","may","tue",1,999,1,"failure","4"
292,41,"blue-collar","married","no","no","no","cellular","may","tue",1,999,0,"nonexistent","9"
293,35,"blue-collar","married","no","no","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
294,58,"admin.","single","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","university.degree"
295,49,"blue-collar","married","no","yes","yes","cellular","may","tue",1,999,1,"failure","professional.course"
296,49,"blue-collar","married","no","no","no","cellular","may","tue",1,999,0,"nonexistent","professional.course"
297,50,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","4"
298,43,"blue-collar","married","no","no","yes","cellular","may","tue",1,999,0,"nonexistent","6"
299,36,"self-employed","married","no","yes","yes","cellular","may","tue",1,999,0,"nonexistent","9"
300,35,"technician","divorced","no","no","no","cellular","may","tue",1,999,1,"failure","professional.course"
301,38,"technician","married","no","yes","no","cellular","may","tue",1,999,1,"failure","university.degree"
302,43,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,1,"failure","6"
303,47,"management","married","no","no","no","cellular","may","tue",1,999,1,"failure","university.degree"
304,51,"admin.","married","unknown","no","no","cellular","may","tue",1,999,0,"nonexistent","4"
305,34,"blue-collar","married","no","yes","no","cellular","may","tue",1,999,1,"failure","unknown"
306,31,"services","single","no","no","no","cellular","may","tue",1,999,0,"nonexistent","9"
307,35,"blue-collar","single","no","yes","no","cellular","may","tue",1,999,1,"failure","high.school"
308,45,"blue-collar","married","no","no","no","cellular","may","tue",1,999,0,"nonexistent","6"
309,34,"blue-collar","married","no","yes","no","cellular","may","tue",1,3,2,"success","high.school"
310,35,"admin.","single","no","yes","no","telephone","may","tue",3,999,0,"nonexistent","university.degree"
311,29,"student","single","unknown","no","yes","cellular","may","tue",1,999,1,"failure","high.school"
312,36,"admin.","single","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
313,31,"services","single","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
314,45,"entrepreneur","divorced","no","yes","yes","cellular","may","tue",3,999,0,"nonexistent","9"
315,31,"services","single","no","yes","no","cellular","may","tue",1,999,0,"nonexistent","high.school"
